pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-01532-291800-551966,7dc4fb40-4676-4bfc-a757-b89f37a296c6,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01533-300448-555726,dfbb3f1d-2db9-46f7-b2f4-af5a5557f46b,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01535-299735-555418,d90e28b9-0af5-4e6c-b063-ab7dc493296a,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01536-293479-552856,a8d661fe-954b-490b-8756-fd07cad3c3be,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01537-293480-552857,26458ad7-a048-4c12-949e-b600f977614f,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01539-295175-553611,d718e965-bf72-471c-a4a6-82e6b1ccde73,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01540-298449-554877,c1813ee5-61d9-460b-ad9d-b2f341ea7c7e,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01548-286401-286407,cf8a2fbc-419f-4979-be31-22332aae1168,d6777b34-3e6b-49c6-8a1c-40dd669aac18,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
FZ-01549-286401-549729,cf8a2fbc-419f-4979-be31-22332aae1168,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01550-286401-549734,cf8a2fbc-419f-4979-be31-22332aae1168,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01551-286407-549729,d6777b34-3e6b-49c6-8a1c-40dd669aac18,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01552-286407-549734,d6777b34-3e6b-49c6-8a1c-40dd669aac18,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01555-296699-554106,d59d8421-1148-49f9-be3b-bc42a9eb6892,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01557-297613-554574,aba366af-4108-4a60-b02a-35ecb7ac0abf,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01560-296484-554000,3c4e952e-b9a2-4852-abb9-a60d9553c637,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01561-305013-557674,f24774db-3af1-41ef-aa29-3c47148e684c,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01562-295026-553535,d838888f-2c1a-4334-be2c-16e4763e8465,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01563-297074-554324,b592e0bf-7f62-459a-b6d4-e4f6dcd4853a,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01564-304389-557404,c1d601f0-a4eb-4031-ab32-5834cd294e86,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01610-292490-552395,4149d89e-8769-4366-8fac-30c0e9b5e70f,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01620-290512-551321,cba28041-2202-4add-9ab3-2f0827ec5e88,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01622-287801-550294,1bc4f513-fc4f-4d7a-be12-e43a041980a8,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01623-291496-551824,aefc36aa-5714-4c60-8755-34ce18546790,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01624-284416-287715,db07eb02-255e-4d15-b6ff-fbf6bb910f67,6d4f3210-360b-452c-a3cb-fdff8a94d46d,REVIEW_REQUIRED,DETERMINISTIC_SINGLE_SOURCE,Suppliers,ESCALATE
FZ-01626-287715-489712,6d4f3210-360b-452c-a3cb-fdff8a94d46d,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01628-294085-553082,321f9a04-64ce-453d-a737-c66999663ada,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01635-291218-401955,696549c4-ea8c-43d9-ac12-9019bf1ee265,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01636-287948-550359,67b5c7e2-f466-4109-880a-9bb3caada8b4,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01637-286748-549864,23120620-cc4f-4ab3-aff3-976cef2a87b6,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01638-302560-556627,4f5be92e-65f6-4fdd-814b-ac337c705338,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01641-287033-549968,7550063d-8def-4814-b6fa-b9a97e9f7caf,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01645-287130-531212,767afc4b-4bb5-4278-acba-644635a8c1f8,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01648-288112-550423,274e94d1-1cf2-44b3-869b-e44c36743d6b,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01649-288120-550426,96468b3a-6510-4e71-98cf-fa90f683e5b3,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01652-288624-550647,29d64715-ab92-467c-a3bc-f8a2aac9a07d,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01660-289869-551066,e872b310-c852-4757-ad44-c41774b768b5,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01661-289933-551098,9c5bc1cd-d466-4dec-b782-49468df5a49f,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01662-290637-523091,9c07464a-5d96-49c8-ab1c-daba965827cf,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01668-300265-555682,8d777b7c-9a6e-4eae-8433-1a332523738b,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01669-299977-555546,068875de-388b-48e5-a176-9d755340f32f,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
